Trade Price,Bid,Ask,Bid_Size,Ask_Size
100,99.98,100.02,100,200
100.0613964,100.0413841,100.0814086,100,100
99.98283183,99.96281613,100.0028475,500,100
99.98205524,99.96205508,100.0020554,1000,100
100.0300471,100.0100375,100.0500567,100,200
100.0898608,100.0698488,100.1098727,100,500
100.0904987,100.0704985,100.1104988,100,100
100.1332697,100.1132612,100.1532782,100,100
100.1717652,100.1517575,100.1917729,800,100
100.1513661,100.131362,100.1713701,100,400
100.1568611,100.13686,100.1768622,100,100
100.2220276,100.2020146,100.2420407,700,100
100.1694443,100.1494338,100.1894547,100,100
100.2097651,100.1897571,100.2297732,1000,100
100.2879408,100.2679252,100.3079564,100,100
100.3456904,100.3256789,100.365702,100,100
100.3462322,100.3262321,100.3662323,100,100
100.3273279,100.3073241,100.3473316,100,100
100.3876858,100.3676737,100.4076978,800,100
100.3687793,100.3487755,100.3887831,100,100
100.4041981,100.3841911,100.4242052,100,400
100.3610702,100.3410617,100.3810788,700,100
100.3582379,100.3382374,100.3782385,100,100
100.3350452,100.3150406,100.3550498,100,100
100.2884936,100.2684844,100.3085029,500,100
100.3363755,100.3163659,100.356385,1000,100
100.2945014,100.2744931,100.3145098,100,100
100.2282072,100.208194,100.2482204,100,100
100.235504,100.2155026,100.2555055,100,100
100.2531372,100.2331337,100.2731407,100,100
100.312247,100.2922352,100.3322588,800,100
100.2609199,100.2409096,100.2809301,100,500
100.2638773,100.2438767,100.2838778,100,1000
100.2222775,100.2022692,100.2422858,700,100
100.2920138,100.2719999,100.3120277,100,100
100.3032041,100.2832018,100.3232063,100,100
100.313455,100.293453,100.3334571,500,100
100.2645095,100.2444997,100.2845192,1000,800
100.2586455,100.2386443,100.2786467,100,100
100.3076056,100.2875958,100.3276153,100,100
100.3652412,100.3452297,100.3852527,100,700
100.3440382,100.324034,100.3640424,100,100
100.3481946,100.3281937,100.3681954,800,200
100.4170676,100.3970538,100.4370813,100,100
100.4166667,100.3966666,100.4366668,100,100
100.4445199,100.4245143,100.4645254,700,100
100.4560034,100.4360012,100.4760057,100,100
100.3811916,100.3611767,100.4012065,100,100
100.3233214,100.3033098,100.3433329,500,100
100.3322112,100.3122095,100.352213,1000,100
100.2969462,100.2769391,100.3169532,100,100
100.2523031,100.2322942,100.272312,100,100
100.2594732,100.2394718,100.2794746,100,100
100.2951233,100.2751162,100.3151304,100,100
100.2496663,100.2296573,100.2696754,800,500
100.2557897,100.2357884,100.2757909,100,1000
100.2771641,100.2571599,100.2971684,100,100
100.2679313,100.2479295,100.2879332,700,100
100.2774268,100.2574249,100.2974287,100,100
100.2768054,100.2568053,100.2968055,100,100
100.294525,100.2745215,100.3145286,500,800
100.3135333,100.2935296,100.3335371,1000,100
100.2830593,100.2630533,100.3030654,100,100
100.2439976,100.2239898,100.2640054,100,700
100.2721334,100.2521278,100.292139,100,100
100.2484228,100.2284181,100.2684276,100,100
100.2704527,100.2504483,100.2904571,800,100
100.2211921,100.2011823,100.2412019,100,100
100.1763204,100.1563115,100.1963294,100,100
100.2513201,100.2313051,100.2713351,700,100
100.2311884,100.2111843,100.2511924,100,100
100.1592227,100.1392084,100.1792371,100,100
100.166415,100.1464136,100.1864164,500,100
100.2195367,100.1995261,100.2395473,1000,100
100.2128227,100.1928214,100.232824,100,100
100.2000163,100.1800138,100.2200189,100,100
100.1787211,100.1587168,100.1987253,100,100
100.1877762,100.1677744,100.207778,100,100
100.1602864,100.1402809,100.1802919,800,100
100.1565442,100.1365435,100.1765449,100,100
100.2210559,100.201043,100.2410688,100,100
100.2510619,100.2310559,100.2710679,700,100
100.2625384,100.2425361,100.2825407,100,100
100.2380063,100.2180014,100.2580112,100,100
100.2249417,100.2049391,100.2449443,100,100
100.1763273,100.1563176,100.196337,100,100
100.1689967,100.1489953,100.1889982,100,100
100.2167118,100.1967022,100.2367213,100,100
100.2430808,100.2230755,100.2630861,100,100
100.2260302,100.2060268,100.2460336,100,100
100.1869149,100.1669071,100.2069227,100,100
100.1822031,100.1622021,100.202204,100,100
100.1148434,100.0948299,100.1348568,100,100
100.0461983,100.0261846,100.066212,100,100
100.0939473,100.0739377,100.1139568,100,100
100.054536,100.0345282,100.0745439,500,100
100.0638029,100.0438011,100.0838048,1000,100
100.12332,100.1033081,100.1433319,100,100
100.0550861,100.0350725,100.0750998,100,100
100.0753972,100.0553932,100.0954013,100,100
100.1222946,100.1022852,100.142304,100,100
100.1337867,100.1137844,100.153789,800,100
100.154821,100.1348168,100.1748252,100,100
100.1258408,100.105835,100.1458466,100,100
100.1236926,100.1036921,100.143693,700,100
100.165758,100.1457496,100.1857664,100,100
100.2035285,100.183521,100.2235361,100,100
100.2635541,100.2435422,100.2835661,100,100
100.2343962,100.2143904,100.254402,100,100
100.2156537,100.19565,100.2356575,100,100
100.210262,100.190261,100.2302631,100,100
100.2035118,100.1835105,100.2235132,100,100
100.1360438,100.1160303,100.1560572,100,100
100.2079745,100.1879602,100.2279889,100,100
100.2515072,100.2314985,100.2715159,100,100
100.2111138,100.1911057,100.2311218,100,100
100.2110862,100.1910862,100.2310862,100,100
100.22174,100.2017379,100.2417422,100,100
100.2034562,100.1834526,100.2234599,100,100
100.2038258,100.1838257,100.2238258,100,100
100.2112542,100.1912527,100.2312556,100,100
100.2428194,100.2228131,100.2628257,100,100
100.2450278,100.2250274,100.2650283,100,100
100.2065173,100.1865096,100.226525,100,100
100.240867,100.2208602,100.2608739,100,100
100.3026437,100.2826314,100.322656,100,100
100.3712191,100.3512055,100.3912328,100,100
100.3351643,100.3151571,100.3551715,100,100
100.3105242,100.2905193,100.3305291,100,100
100.3977521,100.3777347,100.4177695,100,100
100.3995162,100.3795159,100.4195166,100,100
100.4226908,100.4026862,100.4426954,100,100
100.4633778,100.4433697,100.4833859,100,100
100.4238325,100.4038246,100.4438403,100,100
100.387902,100.3678948,100.4079092,100,100
100.4418533,100.4218426,100.4618641,100,100
100.4073533,100.3873464,100.4273601,100,100
100.3962938,100.3762916,100.416296,100,100
100.416599,100.396595,100.436603,100,100
100.4128036,100.3928029,100.4328044,100,100
100.4352599,100.4152554,100.4552643,100,100
100.3642682,100.344254,100.3842823,100,100
100.3274531,100.3074457,100.3474604,100,100
100.3222705,100.3022694,100.3422715,100,100
100.3300419,100.3100404,100.3500435,100,100
100.2638228,100.2438096,100.283836,100,100
100.2549935,100.2349917,100.2749952,100,100
100.3207986,100.3007855,100.3408117,100,100
100.3212634,100.3012633,100.3412635,100,100
100.296323,100.276318,100.3163279,100,100
100.3100659,100.2900632,100.3300686,100,100
100.2968192,100.2768165,100.3168218,100,100
100.2636055,100.2435988,100.2836121,100,100
100.348076,100.3280591,100.3680928,100,100
100.3262042,100.3061998,100.3462086,100,100
100.2721611,100.2521503,100.2921719,100,100
100.2739102,100.2539098,100.2939105,100,100
100.3152987,100.2952904,100.3353069,100,100
100.3119155,100.2919149,100.3319162,100,100
100.2921087,100.2721047,100.3121126,100,100
100.38006,100.3600424,100.4000775,100,100
100.4276235,100.4076141,100.447633,100,100
100.3860588,100.3660505,100.4060671,100,100
100.3253958,100.3053837,100.3454079,100,100
100.2833931,100.2633847,100.3034014,100,100
100.2992771,100.2792739,100.3192802,100,100
100.3144337,100.2944307,100.3344367,100,100
100.328112,100.3081093,100.3481147,100,100
100.3759407,100.3559312,100.3959503,100,100
100.2910146,100.2709977,100.3110315,100,100
100.3078914,100.287888,100.3278948,100,100
100.3592166,100.3392064,100.3792268,100,100
100.2735446,100.2535276,100.2935617,100,100
100.2740664,100.2540663,100.2940665,100,100
100.2659029,100.2459013,100.2859046,100,100
100.2750422,100.2550404,100.2950441,100,100
100.295041,100.275037,100.3150449,100,100
100.2578478,100.2378404,100.2778552,100,100
100.3048947,100.2848853,100.3249041,100,100
100.2699404,100.2499335,100.2899474,100,100
100.316852,100.2968427,100.3368614,100,100
100.3555608,100.3355531,100.3755685,100,100
100.3320396,100.3120349,100.3520443,100,100
100.2597786,100.2397642,100.279793,100,100
100.3053111,100.285302,100.3253202,100,100
100.3102697,100.2902687,100.3302707,100,100
100.3751048,100.3550919,100.3951177,100,100
100.3548243,100.3348202,100.3748283,100,100
100.342267,100.3222645,100.3622695,100,100
100.3445358,100.3245353,100.3645362,100,100
100.3069822,100.2869747,100.3269897,100,100
100.2922738,100.2722708,100.3122767,100,100
100.2063079,100.1862907,100.226325,100,100
100.2202077,100.2002049,100.2402104,100,100
100.2489675,100.2289618,100.2689733,100,100
100.2507958,100.2307954,100.2707961,100,100
100.3141668,100.2941541,100.3341794,100,100
100.2534522,100.2334401,100.2734643,100,100
100.2664497,100.2464471,100.2864523,100,100
100.2907409,100.270736,100.3107457,100,100
100.3478502,100.3278388,100.3678616,100,100
100.3437835,100.3237827,100.3637843,100,100
100.4156373,100.395623,100.4356516,100,100
100.4158395,100.3958395,100.4358395,100,100
100.3551735,100.3351615,100.3751856,100,100
100.3351009,100.3150969,100.3551049,100,100
100.3310201,100.3110192,100.3510209,100,100
100.3802627,100.3602529,100.4002725,100,100
100.4246702,100.4046613,100.444679,100,100
100.3514469,100.3314323,100.3714614,100,100
100.391314,100.371306,100.4113219,100,100
100.4106792,100.3906754,100.4306831,100,100
100.3869191,100.3669144,100.4069238,100,100
100.38786,100.3678598,100.4078602,100,100
100.4175939,100.397588,100.4375998,100,100
100.4362433,100.4162396,100.456247,100,100
100.4333502,100.4133496,100.4533508,100,100
100.3811839,100.3611735,100.4011943,100,100
100.3237342,100.3037227,100.3437456,100,100
100.2749586,100.2549489,100.2949683,100,100
100.2665736,100.2465719,100.2865753,100,100
100.218062,100.1980523,100.2380717,100,100
100.254415,100.2344077,100.2744222,100,100
100.2522497,100.2322492,100.2722501,100,100
100.2579168,100.2379157,100.277918,100,100
100.2770234,100.2570195,100.2970272,100,100
100.1894384,100.1694209,100.2094558,100,100
100.1579901,100.1379838,100.1779963,100,100
100.0936916,100.0736788,100.1137045,100,100
100.1315611,100.1115535,100.1515686,100,100
100.1373778,100.1173766,100.1573789,100,100
100.1074215,100.0874155,100.1274275,100,100
100.0647971,100.0447886,100.0848056,100,100
100.0984561,100.0784494,100.1184629,100,100
100.0701993,100.0501937,100.090205,100,100
100.0844455,100.0644427,100.1044484,100,100
100.1588812,100.1388663,100.1788961,100,100
100.1243072,100.1043003,100.1443141,100,100
100.1931147,100.1731009,100.2131284,100,100
100.2006671,100.1806656,100.2206686,100,100
100.1759059,100.155901,100.1959109,100,100
100.1679232,100.1479216,100.1879248,100,100
100.1784936,100.1584914,100.1984957,100,100
100.1317096,100.1117003,100.151719,100,100
100.1122542,100.0922503,100.1322581,100,100
100.0557435,100.0357322,100.0757548,100,100
100.0341276,100.0141233,100.0541319,100,100
100.0359388,100.0159385,100.0559392,100,100
100.0004696,99.98046247,100.0204767,100,100
100.0343104,100.0143036,100.0543172,100,100
100.0087966,99.98879151,100.0288017,100,100
99.99145659,99.97145312,100.0114601,100,100
99.92859235,99.90857978,99.94860493,100,100
99.97508239,99.95507309,99.9950917,100,100
99.97785677,99.95785621,99.99785732,100,100
99.93148252,99.91147324,99.9514918,100,100
99.90092313,99.88091701,99.92092925,100,100
99.9309935,99.91098748,99.95099952,100,100
99.99145658,99.97144448,100.0114687,100,100
99.991867,99.97186692,100.0118671,100,100
99.93937923,99.91936873,99.95938973,100,100
99.87551661,99.85550383,99.89552939,100,100
99.90089787,99.88089279,99.92090296,100,100
99.92273843,99.90273405,99.9427428,100,100
99.96169619,99.9416884,99.98170399,100,100
99.89643999,99.87642693,99.91645305,100,100
99.91905636,99.89905183,99.93906088,100,100
99.95367421,99.93366728,99.97368113,100,100
99.9101517,99.89014299,99.93016041,100,100
99.85254811,99.83253657,99.87255964,100,100
99.90836451,99.88835333,99.92837569,100,100
99.94046505,99.92045862,99.96047147,100,100
99.94288881,99.92288833,99.9628893,100,100
99.93818645,99.91818551,99.95818739,100,100
99.92541498,99.90541242,99.94541753,100,100
99.95702954,99.93702321,99.97703586,100,100
99.93702713,99.91702313,99.95703113,100,100
99.94121435,99.92121352,99.96121519,100,100
99.99084214,99.9708322,100.0108521,100,100
100.0353519,100.015343,100.0553608,100,100
100.0890293,100.0690185,100.10904,100,100
100.1123571,100.0923525,100.1323618,100,100
100.0896501,100.0696456,100.1096546,100,100
100.0930156,100.0730149,100.1130163,100,100
100.1377578,100.1177489,100.1577668,100,100
100.1070195,100.0870133,100.1270256,100,100
100.1441804,100.1241729,100.1641878,100,100
100.1249993,100.1049955,100.1450031,100,100
100.1704384,100.1504294,100.1904475,100,100
100.1941579,100.1741532,100.2141626,100,100
100.2408657,100.2208564,100.260875,100,100
100.2753568,100.25535,100.2953637,100,100
100.3119403,100.291933,100.3319476,100,100
100.2651449,100.2451356,100.2851542,100,100
100.2273296,100.2073221,100.2473372,100,100
100.2386505,100.2186482,100.2586527,100,100
100.2310866,100.2110851,100.2510881,100,100
100.3150007,100.2949839,100.3350174,100,100
100.3377231,100.3177186,100.3577276,100,100
100.3861492,100.3661396,100.4061589,100,100
100.4449767,100.424965,100.4649884,100,100
100.4034058,100.3833975,100.4234141,100,100
100.3337514,100.3137375,100.3537653,100,100
100.3340852,100.3140851,100.3540852,100,100
100.3186948,100.2986917,100.3386979,100,100
100.3402056,100.3202013,100.3602099,100,100
100.3998239,100.379812,100.4198358,100,100
100.3325281,100.3125147,100.3525415,100,100
100.3316757,100.3116756,100.3516759,100,100
100.2835195,100.2635099,100.3035291,100,100
100.3501129,100.3300997,100.3701262,100,100
